stop_id,stop_code,stop_lat,stop_lon,location_type,wheelchair_boarding,name
4451,4451,52.1336,-106.563676,None,0,Kenderdine / Horlick
4078,4078,52.130778,-106.628651,None,0,Campus / N.R.C. Place
3223,3223,52.14376,-106.677973,None,0,33rd Street / Avenue F
5434,5434,52.100963,-106.606947,None,0,Louise / Louise
4438,4438,52.137373,-106.697514,None,0,Avenue R / 29th Street
4145,4145,52.105074,-106.646632,None,0,Clarence / Isabella
3733,3733,52.168868,-106.634753,None,0,Primrose / Civic Center
5862,5862,52.125471,-106.733726,None,0,Fairlight / McCormack
4031,4031,52.123129,-106.576193,None,0,Boychuk / Laval
3669,3669,52.133294,-106.685018,None,0,Rusholme / Avenue J
5819,5819,52.097477,-106.609694,None,0,Arlington / 1700 East Heights
5798,5798,52.13699,-106.707956,None,0,29th Street / Avenue X
5817,5817,52.093577,-106.610602,None,0,2300 Easthill / 2000 Easthill
4189,4189,52.120041,-106.634549,None,0,Cumberland / Garrison
3357,3357,52.114536,-106.662033,None,0,8th Street / Victoria
4109,4109,52.107218,-106.568418,None,0,Briarvale / Briarvale Bay
4177,4177,52.136349,-106.725947,None,0,Confederation / Milton
3100,3100,52.12626,-106.687557,None,0,20th Street / Avenue L
5483,5483,52.08358,-106.635423,None,0,Galloway / Stonebridge
4234,4234,52.136347,-106.604117,None,0,Egbert / 108th Street
4195,4195,52.169402,-106.586722,None,0,Konihowski / Bourgonje
3072,3072,52.123633,-106.663361,None,0,19th Street / 3rd Avenue
3087,3087,52.126219,-106.675369,None,0,20th Street / Avenue D
3586,3586,52.129871,-106.659975,None,0,23rd Street / 4th Avenue
3551,3551,52.150488,-106.705674,None,0,37th Street / Avenue W
4150,4150,52.100421,-106.646377,None,0,Clarence / Ruth
4091,4091,52.132386,-106.74668,None,0,Centennial / Lisgar
4287,4287,52.125906,-106.667479,None,0,20th Street / 1st Avenue
3939,3939,52.09688,-106.599025,None,0,Kingsmere / Crean
3158,3158,52.130938,-106.672023,None,0,23rd Street / Avenue B
3118,3118,52.126412,-106.710146,None,0,Witney / 20th Street
3169,3169,52.129043,-106.65642,None,0,23rd Street / Spadina
3393,3393,52.18745,-106.623704,None,0,Adilman / Benesh
3374,3374,52.123316,-106.591134,None,0,Acadia / Campion
3549,3549,52.147208,-106.714227,None,0,Richardson / Catherwood
3694,3694,52.155154,-106.592851,None,0,Rever / Konihowski
3952,3952,52.142205,-106.743206,None,0,J A MacDonald / McCully
4228,4228,52.131656,-106.60412,None,0,Egbert / 104th Street
4374,4374,52.142595,-106.625711,None,0,Research / Resources
3951,3951,52.142218,-106.73712,None,0,J A MacDonald / Dominion
3091,3091,52.126246,-106.678432,None,0,20th Street / Avenue F
5592,5592,52.202142,-106.640837,None,0,71st Street / Case New Holland
5856,5856,52.100304,-106.6338,None,0,Ruth / Cantlon
3491,3491,52.11295,-106.686608,None,0,Avenue K / Dudley
4192,4192,52.125638,-106.634803,None,0,Cumberland / Temperance
4223,4223,52.09961,-106.592063,None,0,McKercher  / Stillwater
3136,3136,52.129206,-106.707058,None,0,22nd Street / Avenue X
3327,3327,52.114702,-106.646715,None,0,8th Street / Clarence
5774,5774,52.149952,-106.572119,None,0,Nelson / Heath
5355,5355,52.106025,-106.615029,None,0,Taylor / McEown
5754,5754,52.124493,-106.675903,None,0,19th Street / Avenue D
3735,3735,52.167427,-106.642171,None,0,Primrose / Coppermine
3888,3888,52.103804,-106.670268,None,0,Lorne / Hilliard
3983,3983,52.107231,-106.670229,None,0,Taylor Street / Lorne
3477,3477,52.151294,-106.663459,None,0,Quebec / 38th Street
3313,3313,52.112932,-106.609238,None,0,Arlington / 7th Street
3823,3823,52.104572,-106.588215,None,0,McKercher / Heritage
4357,4357,52.096186,-106.67066,None,0,Lorne / WDM entrance
3732,3732,52.168294,-106.635505,None,0,Primrose / Ravine
5616,5616,52.107193,-106.559477,None,0,Briarwood / Beechdale
