trip_id,route_id,block_id,shape_id,service_id,direction,bikes,wheelchairs,headsign
950894,10025,a_51451,72980,1_merged_979665,0,0,0,University via Boychuk
959395,10147,b_51800,73555,2_merged_979670,1,0,0,None
948399,10009,a_51342,72861,3_merged_979666,1,0,0,City Centre
950761,10024,a_51444,72977,1_merged_979665,1,0,0,University
960208,10154,b_51805,73594,2_merged_979670,1,0,0,Centre Mall
956244,10089,b_51646,73304,2_merged_979670,1,0,0,City Centre
958571,10126,b_51763,73466,1_merged_979668,0,0,0,Kenderdine
953215,10075,a_51523,73199,2_merged_979667,1,0,0,Kensington
951816,10047,a_51507,73065,2_merged_979667,0,0,0,Silverwood Heights
954529,10082,b_51565,73230,2_merged_979670,0,0,0,City Centre
958407,10124,b_51811,73449,1_merged_979668,0,0,0,Special
956586,10095,b_51670,73321,1_merged_979668,0,0,0,River Heights
953831,10080,a_51556,73223,2_merged_979667,1,0,0,Centre Mall
953114,10075,a_51518,73194,1_merged_979665,0,0,0,City Centre
951241,10032,a_51482,73006,1_merged_979665,0,0,0,Silverspring
957887,10108,b_51737,73389,2_merged_979670,1,0,0,City Centre
957413,10100,b_51701,73354,1_merged_979668,0,0,0,University via Boychuk
951790,10047,a_51486,73069,1_merged_979665,1,0,0,City Centre
