index,postal_code,lat,lng,walkscore,da_id
3005,S7L 4A5,52.147500,-106.698000,47110387,18
3006,S7L 4A8,52.146000,-106.702500,47110376,18
3007,S7L 4A9,52.146000,-106.702500,47110376,18
3008,S7L 6W4,52.134000,-106.750500,47110348,39
3009,S7L 6W5,52.156500,-106.687500,47110387,30
3010,S7N 1K9,52.122000,-106.636500,47110101,72
3011,S7N 1K8,52.122000,-106.636500,47110101,72
3012,S7H 0W4,52.114500,-106.602000,47110450,84
3013,S7H 0W4,52.114500,-106.600500,47110450,85
3014,S7H 0W5,52.114500,-106.596000,47110451,81
3015,S7H 0W6,52.114500,-106.596000,47110451,81
3016,S7H 0W7,52.113000,-106.669500,47110074,57
3017,S7T 0J3,52.087500,-106.614000,47110670,44
3018,S7T 0J3,52.087500,-106.612500,47110670,40
3019,S7T 0J3,52.089000,-106.612500,47110670,34
3020,S7H 0W1,52.114500,-106.611000,47110449,89
3021,S7H 0W2,52.114500,-106.608000,47110448,85
3022,S7H 0W8,52.113000,-106.669500,47110074,57
3023,S7H 0W9,52.113000,-106.666500,47110186,65
3024,S7T 0J9,52.086000,-106.617000,47110670,57
3025,S7T 0J8,52.086000,-106.617000,47110670,57
3026,S7N 0A1,52.116000,-106.669500,47110076,56
3027,S7N 0A2,52.116000,-106.669500,47110076,56
3028,S7N 0A3,52.116000,-106.666500,47110076,74
3029,S7K 0B8,52.126500,-106.663500,47110066,99
3030,S7K 0B9,52.126500,-106.663500,47110066,99
3031,S7N 0A6,52.114500,-106.669500,47110074,60
3032,S7N 0A6,52.114500,-106.666500,47110186,69
3033,S7N 0A7,52.116000,-106.660500,47110078,86
3034,S7N 2V3,52.140000,-106.627500,47110306,27
3035,S7N 2V2,52.150500,-106.596000,47110302,35
3036,S7N 2V2,52.150500,-106.594500,47110302,30
3037,S7K 0B6,52.128000,-106.665000,47110065,99
3038,S7K 0B7,52.126500,-106.663500,47110066,99
3039,S7N 2V7,52.150500,-106.594500,47110302,30
3040,S7K 0B1,52.177500,-106.662000,47110691,25
3041,S7K 0B2,52.128000,-106.665000,47110065,99
3042,S7K 0B3,52.128000,-106.665000,47110065,99
3043,S7L 5E3,52.137000,-106.749000,47110471,38
3044,S7L 5E3,52.138500,-106.747500,47110471,35
3045,S7L 5E2,52.138500,-106.747500,47110471,35
3046,S7L 5E1,52.138500,-106.747500,47110471,35
3047,S7L 5E7,52.132500,-106.735500,47110363,54
3048,S7L 5E6,52.138500,-106.744500,47110351,35
3049,S7L 5E6,52.137000,-106.744500,47110351,38
3050,S7L 5E5,52.138500,-106.746000,47110471,35
3051,S7L 5E4,52.137000,-106.746000,47110351,38
3052,S7L 5E9,52.132500,-106.740000,47110363,39
3053,S7L 5E8,52.132500,-106.737000,47110363,48
